"","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40"
"1",255109.224026573,208150.250024058,187330.129554629,186604.434897013,169566.608902797,145466.367899567,100578.760564117,80544.5801768123,61755.546461819,59922.4970085838,52757.4252704511,52067.3726339626,46194.8362100333,44898.7938551319,44736.4255231796,45698.3610803961,45778.5244992916,44408.3488622501,44102.3392865466,43948.1406913922,44083.958851824,44149.5824243682,44104.2185464562,42060.2634074275,44104.313191288,42469.2619917129,43620.954772459,48360.1746338003,49046.7578858091,47454.6325871188,34346.993116973,24460.4466497079,22600.9305523154,20032.245247512,19438.8469670153,18227.7752264627,16098.8665406879,16802.5582184563,16360.2255844542
"2",536515.503136551,436363.99400043,386496.034979977,374740.995129946,337304.032099536,311466.46718314,196143.266688732,161253.20443335,117251.479655998,115317.685915643,99521.7290911568,97236,82778.8963912642,82204.4476998839,80430.9077707019,82316.2194865076,82270.7749953939,82170.1598339924,80210.5132486475,79026.4366911801,78650.0494972607,81587.6183453853,80291.6942362308,74810.5098410147,77498.2747566131,74679.8567864637,75631.2333493763,84340.4512644392,85097.0699681255,84552.0299000732,59108.3542137429,36766.5597923994,33799.2156202142,29332.7438808961,28489.9104197061,27031.0208270682,22046.1781274496,21561.1399057937,20969.206740385
"3",493610.067078505,409758.277895106,367990.343978123,354481.252298025,317353.1545992,295660.385468887,187648.456818858,151252.725442217,110990.602984783,110187.419418562,95139.0711889029,91180.5301043519,77557.0811203473,77272.8171755536,75995.0997224884,77938.0993063142,77487.9953780162,76417.6331982938,75689.9970372177,75410.7269257144,75309.0134275782,74712.9954041982,73830.5982614893,70257.2140248309,73755.7344728229,70321.4587967772,71916.3920379518,79448.714476376,79640.7994705021,77433.5343766254,52882.5988777916,33031.4049150831,30727.5769965424,27112.7809690691,26093.3129817301,24672.6449780249,20074.061415359,19467.5596411895,19196.6097854998
"4",549241.111188144,448995.414576024,399399.648287359,381033.674660627,342643.939794795,317395.450327726,198805.942798305,168582.080341829,128156.113865919,127317.812040817,110700.578471623,107493.09428286,91872.2975955638,91153.7302231777,89523.7366245586,92226.5768101828,92120.0427926177,90858.8591678342,88863.6866703745,88356.9370729287,89043.7467398322,90855.8404426714,89593.5030629465,84255.2425814684,87878.3668673041,84091.1315868304,85803.2820385035,94054.6756952021,94680.802609685,92368.7692897865,63321.3237212912,39628.893403911,37019.1594191556,31945.4137751094,29286.6343997281,28309.4833960539,24528.1054739606,23822.6128561555,22963.8949179523
"5",339262.666424123,278281.431720274,253328.317101895,242756.32622193,217745.927856319,194430.403091423,129240.326167083,97015.85142501,76448.6139217959,74718.3850967366,65242.9200051813,63121.8008229533,55868.6943246356,55825.3373073444,55667.9201021977,57222.4645966221,57425.7472560918,55786.7620664176,55194.6788973787,54958.3952934055,55860.9753827198,55337.6109187355,55037.4800111589,51408.8179349811,54326.5898745751,53031.3841784532,54500.7751357894,61460.7214354915,61607.560086879,59395.5701223731,46096.6837194615,29014.7878170613,25710.3479584658,23286.9767690319,22161.8112457895,20544.8858077268,17263.3041062964,17202.4713843929,16785.9821554671
"6",267408.14750145,222945.257431729,204017.14690833,199147.567347087,191008.303701482,155140.630897452,117121.72004672,98416.8621556474,70256.830364281,66114.8429777627,59106.6413314585,58902.4142510794,50198.5896858846,50050.021283381,49798.7973052403,50927.2543113194,50963.5170191324,49145.527029038,48973.1008075485,48898.675381927,49150.1291655451,48909.0945924308,48543.8836561516,45994.2100895526,48713.9506292566,46527.2522289272,47985.5383942425,53945.0775873989,54621.7741512917,54058.0594310793,34916.1569359079,28414.5147526909,25672.6870490031,22666.4655634717,21615.7918789469,20318.4911214523,17886.7667897778,17204.3948378096,16710.246309667
"7",411897.157457184,342570.007457472,311526.898278098,299756.509496099,291550.082604124,253211.273112204,169671.17918182,128919.798018919,103869.155952484,98644.9104780926,85169.297223637,82743.8509961711,73625.188730478,73190.8952600186,72695.778453113,74286.7881888636,74695.4842392629,72833.4010350571,71891.9773848025,72130.7115895069,71823.4497424514,72072.5407923895,71660.8887565223,67805.2462944141,70892.7718739803,67970.1285612305,69535.8261230787,74906.1727687666,76268.6206417404,74973.5031117318,51904.0248831865,36478.8651939623,34909.8402402177,30189.1100360019,29316.5966513236,27017.4008527772,22024.1054580423,21492.0293599264,NA
"8",264772.248387943,222703.622137543,201878.59842947,196932.171146902,192606.604566786,159777.552953646,131663.188829088,101033.859520286,77710.3979195069,77308.2986006935,68273.3394817718,68149.6401202427,57894.2947572436,57815.7683310611,57638.1860548003,59160.2026836092,59294.2458115174,58170.8865696884,57204.0903776572,56901.8986408743,57262.2320283279,58513.6670422658,58253.1530910227,54213.3478431055,56805.3845231376,53835.5173568628,54492.0101939073,61337.6742754637,62750.2217736585,61505.9360956874,42378.1197542977,29972.0874514117,29942.0152677487,25225.1779960935,24792.880872493,22576.8628128264,19417.8927102437,18418.094157123,17141.8545201337
"9",252832.317824422,200059.09084514,183459.688529741,181895.224216869,180932.322035789,148047.270164636,98198.1204574465,80449.3561257976,62930.9870817081,62654.1731721245,55005.4510732495,53248.9652056944,46132.8246340548,46093.6516089976,46151.7883426542,47209.1580382026,47371.6882683708,45740.5444533492,45925.8730809091,46075.6617347039,45837.2094569448,45320.4467518356,45831.1303343041,44396.5776298941,45857.8448852121,43992.4394036504,46618.7846806839,50929.4208196839,51027.2177660498,49282.4716219535,40383.5617474323,29959.0328898898,27180.7224412023,24075.3784101841,23096.2635898459,22538.9539432542,19982.0807740682,19433.505845656,21816.091904687
"10",149045.256352428,116648.983121874,104706.954145156,100506.722679103,99434.5607502413,76955.084958026,55731.9362945693,43178.9514825277,34718.4513466551,34126.1633919338,30134.8999129678,29444.878452277,NA,25906.4248243288,26288.3386190046,26524.4747429812,26665.7604386144,25735.5348706675,26006.1060227588,26193.8452564837,26038.7342063362,25808.8443833584,25889.5050953116,25669.1068020972,27086.0479764589,26411.6367591082,26435.9251834637,27728.5394185844,29238.0522664517,27843.6187932035,21879.0526428125,16246.866579981,15034.2241965239,13642.7811949913,13455.4037004879,NA,NA,NA,16453.9600910337
